         7045336 function calls (7033261 primitive calls) in 49.351 seconds

   Ordered by: cumulative time
   List reduced from 2335 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   49.351   49.351 /home/lj/projects/wave_map/src/wave_map/cli/run_simulation_batch.py:51(run_simulation_batch)
        1    0.000    0.000   49.345   49.345 /home/lj/projects/wave_map/src/wave_map/batch_runner/batch_runner_setup.py:368(run)
        1    0.004    0.004   48.549   48.549 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:112(run)
     1000    1.522    0.002   41.425    0.041 /home/lj/projects/wave_map/src/wave_map/simulator/time_steppers.py:236(advance_time_step)
     5000   16.680    0.003   39.902    0.008 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:372(compute_rhs)
     5000    6.848    0.001    9.743    0.002 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:219(_apply_boundary_conditions)
    30000    0.220    0.000    8.351    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:1057(einsum)
     1000    0.002    0.000    6.992    0.007 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:100(_save_scheduled_outputs)
    30000    6.581    0.000    6.581    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
      100    0.071    0.001    6.237    0.062 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:225(_evaluate_sensor_data)
    14500    0.589    0.000    6.166    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/spatial_evaluator.py:19(eval_at_point)
     5000    5.102    0.001    5.102    0.001 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:344(_compute_rh_flux)
   145010    1.101    0.000    4.725    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/finite_elements.py:284(eval_3d_basis_function)
   435120    3.116    0.000    3.262    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/finite_elements.py:406(eval_jacobi_polynomial)
   165330    2.808    0.000    2.808    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    30000    0.651    0.000    1.482    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:742(einsum_path)
        1    0.000    0.000    0.795    0.795 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_setup.py:152(build_simulator)
        1    0.000    0.000    0.483    0.483 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_setup.py:55(create_mesh)
        1    0.000    0.000    0.481    0.481 /home/lj/projects/wave_map/src/wave_map/simulator/mesh.py:19(__init__)
       11    0.470    0.043    0.475    0.043 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:236(_save_energy)
    14500    0.038    0.000    0.436    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/spatial_evaluator.py:13(get_element)
        1    0.334    0.334    0.434    0.434 /home/lj/projects/wave_map/src/wave_map/simulator/mesh.py:367(_compute_face_node_mappings)
   675/82    0.001    0.000    0.427    0.005 /nix/store/g6wibm1x0gzib5v59xc69zmrzdjjzbi9-python3.13-pyvista-0.46.0/lib/python3.13/site-packages/pyvista/_deprecate_positional_args.py:191(inner_f)
    14500    0.120    0.000    0.396    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/spatial_evaluator.py:46(_map_to_reference_tetrahedron)
    14500    0.209    0.000    0.374    0.000 /nix/store/kvwrragmjjb2i0ds5xvdvg0qlkkk1860-gmsh-4.14.0/lib/python3.13/site-packages/gmsh.py:2855(getElementByCoordinates)
   145020    0.262    0.000    0.362    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/finite_elements.py:342(_rst_to_abc)
        2    0.000    0.000    0.317    0.158 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:210(_save_image)
        2    0.000    0.000    0.315    0.158 /home/lj/projects/wave_map/src/wave_map/simulator/visualizer.py:522(save)
    30000    0.167    0.000    0.265    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:553(_parse_einsum_input)
    14501    0.108    0.000    0.243    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/linalg/_linalg.py:382(solve)
