         7045339 function calls (7033264 primitive calls) in 46.942 seconds

   Ordered by: cumulative time
   List reduced from 2338 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   46.942   46.942 /home/lj/projects/wave_map/src/wave_map/cli/run_simulation_batch.py:51(run_simulation_batch)
        1    0.000    0.000   46.935   46.935 /home/lj/projects/wave_map/src/wave_map/batch_runner/batch_runner_setup.py:368(run)
        1    0.004    0.004   46.126   46.126 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:112(run)
     1000    1.541    0.002   38.964    0.039 /home/lj/projects/wave_map/src/wave_map/simulator/time_steppers.py:236(advance_time_step)
     5000   15.661    0.003   37.423    0.007 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:379(compute_rhs)
    30000    0.223    0.000    8.297    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:1057(einsum)
     5000    4.765    0.001    8.276    0.002 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:274(_apply_boundary_conditions)
     1000    0.002    0.000    7.029    0.007 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:100(_save_scheduled_outputs)
    30000    6.538    0.000    6.538    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
      100    0.072    0.001    6.259    0.063 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:225(_evaluate_sensor_data)
    14500    0.593    0.000    6.187    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/spatial_evaluator.py:19(eval_at_point)
     5000    5.164    0.001    5.164    0.001 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:351(_compute_rh_flux)
   145010    1.106    0.000    4.738    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/finite_elements.py:284(eval_3d_basis_function)
   435120    3.122    0.000    3.269    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/finite_elements.py:406(eval_jacobi_polynomial)
     5000    2.250    0.000    2.250    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:232(_apply_reflecting_bc)
    30000    0.648    0.000    1.468    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:742(einsum_path)
   150333    1.060    0.000    1.060    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     5000    0.010    0.000    1.038    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:223(_get_flat_fields)
        1    0.000    0.000    0.808    0.808 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_setup.py:152(build_simulator)
       11    0.471    0.043    0.476    0.043 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:236(_save_energy)
        1    0.000    0.000    0.474    0.474 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_setup.py:55(create_mesh)
        1    0.000    0.000    0.472    0.472 /home/lj/projects/wave_map/src/wave_map/simulator/mesh.py:19(__init__)
   675/82    0.001    0.000    0.459    0.006 /nix/store/g6wibm1x0gzib5v59xc69zmrzdjjzbi9-python3.13-pyvista-0.46.0/lib/python3.13/site-packages/pyvista/_deprecate_positional_args.py:191(inner_f)
    14500    0.039    0.000    0.441    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/spatial_evaluator.py:13(get_element)
        1    0.332    0.332    0.429    0.429 /home/lj/projects/wave_map/src/wave_map/simulator/mesh.py:367(_compute_face_node_mappings)
    14500    0.120    0.000    0.396    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/spatial_evaluator.py:46(_map_to_reference_tetrahedron)
    14500    0.211    0.000    0.378    0.000 /nix/store/kvwrragmjjb2i0ds5xvdvg0qlkkk1860-gmsh-4.14.0/lib/python3.13/site-packages/gmsh.py:2855(getElementByCoordinates)
   145020    0.263    0.000    0.364    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/finite_elements.py:342(_rst_to_abc)
        2    0.000    0.000    0.330    0.165 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:210(_save_image)
        2    0.000    0.000    0.329    0.164 /home/lj/projects/wave_map/src/wave_map/simulator/visualizer.py:522(save)
    30000    0.166    0.000    0.262    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:553(_parse_einsum_input)
        1    0.000    0.000    0.253    0.253 /home/lj/projects/wave_map/src/wave_map/simulator/simulation_manager.py:13(__init__)
        1    0.000    0.000    0.249    0.249 /home/lj/projects/wave_map/src/wave_map/simulator/visualizer.py:8(__init__)
    14501    0.108    0.000    0.245    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/linalg/_linalg.py:382(solve)
  708/277    0.011    0.000    0.210    0.001 /nix/store/g6wibm1x0gzib5v59xc69zmrzdjjzbi9-python3.13-pyvista-0.46.0/lib/python3.13/site-packages/pyvista/core/utilities/misc.py:288(__call__)
   870353    0.199    0.000    0.199    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.194    0.097 /nix/store/g6wibm1x0gzib5v59xc69zmrzdjjzbi9-python3.13-pyvista-0.46.0/lib/python3.13/site-packages/pyvista/plotting/plotter.py:6237(screenshot)
        3    0.161    0.054    0.181    0.060 /nix/store/g6wibm1x0gzib5v59xc69zmrzdjjzbi9-python3.13-pyvista-0.46.0/lib/python3.13/site-packages/pyvista/plotting/plotter.py:6854(__init__)
     5000    0.107    0.000    0.158    0.000 /home/lj/projects/wave_map/src/wave_map/simulator/physics.py:246(_apply_source_bc)
    14514    0.022    0.000    0.144    0.000 /nix/store/kvwrragmjjb2i0ds5xvdvg0qlkkk1860-gmsh-4.14.0/lib/python3.13/site-packages/gmsh.py:134(_ovectorsize)
1247181/1247120    0.130    0.000    0.130    0.000 {built-in method builtins.len}
    91/12    0.000    0.000    0.110    0.009 <frozen importlib._bootstrap>:1349(_find_and_load)
    90/11    0.000    0.000    0.109    0.010 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   182/12    0.000    0.000    0.102    0.008 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     80/5    0.000    0.000    0.102    0.020 <frozen importlib._bootstrap>:911(_load_unlocked)
     62/5    0.000    0.000    0.102    0.020 <frozen importlib._bootstrap_external>:1020(exec_module)
     62/5    0.000    0.000    0.101    0.020 {built-in method builtins.exec}
       79    0.000    0.000    0.100    0.001 /nix/store/g6wibm1x0gzib5v59xc69zmrzdjjzbi9-python3.13-pyvista-0.46.0/lib/python3.13/site-packages/pyvista/__init__.py:95(__getattr__)
    30000    0.072    0.000    0.099    0.000 /nix/store/y6r8p8dc030rqxxjjp676p1ix2vv3nk0-python3.13-numpy-2.3.1/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:443(_can_dot)
        1    0.000    0.000    0.098    0.098 /nix/store/g6wibm1x0gzib5v59xc69zmrzdjjzbi9-python3.13-pyvista-0.46.0/lib/python3.13/site-packages/pyvista/plotting/__init__.py:1(<module>)


